id,district,city,floor,price,rooms,sq,year,price_per_sq,update_date,offer_url
58,Dębniki,Kraków,1,578123.18,2,43.26,2021,13363.92,2020-01-01,
59,Prądnik Biały,Kraków,4,675459.00,3,49.02,2020,13779.25,2020-01-01,
60,Bieżanów-Prokocim,Kraków,0,668196.00,2,46.30,2014,14431.89,2020-01-01,
61,Nowa Huta,Kraków,3,508410.00,1,36.90,1956,13778.04,2020-01-01,
62,Grzegórzki,Kraków,7,479358.00,2,36.00,1980,13315.50,2020-01-01,
63,Bieżanów-Prokocim,Kraków,4,795254.92,4,71.10,2021,11185.02,2020-01-01,
64,Bieżanów-Prokocim,Kraków,1,887538.60,3,64.00,2018,13867.80,2020-01-01,
65,Nowa Huta,Kraków,5,719037.00,3,63.28,2021,11362.79,2020-01-01,
66,Dębniki,Kraków,3,1372358.38,3,78.73,2015,17431.20,2020-01-01,
67,Stare Miasto,Kraków,1,1452600.00,3,78.70,1900,18457.43,2020-01-01,
68,Dębniki,Kraków,2,695795.40,2,51.50,1950,13510.59,2020-01-01,
69,Nowa Huta,Kraków,2,384939.00,2,32.60,1968,11807.94,2020-01-01,
70,Podgórze,Kraków,1,651941.41,3,48.52,2021,13436.55,2020-01-01,
71,Prądnik Czerwony,Kraków,4,508410.00,2,37.00,1960,13740.81,2020-01-01,
72,Nowa Huta,Kraków,2,563725.01,2,39.60,2022,14235.48,2020-01-01,
73,Podgórze,Kraków,2,595566.00,2,34.60,2020,17212.89,2020-01-01,
74,Dębniki,Kraków,3,1234710.00,4,102.00,2005,12105.00,2020-01-01,
75,Prądnik Biały,Kraków,2,671364.53,3,59.82,2021,11223.08,2020-01-01,
76,Prądnik Czerwony,Kraków,0,525986.46,2,37.00,1978,14215.86,2020-01-01,
77,Bieżanów-Prokocim,Kraków,1,857034.00,4,56.42,2015,15190.24,2020-01-01,
78,Podgórze,Kraków,5,826529.40,3,54.36,2021,15204.74,2020-01-01,
79,Dębniki,Kraków,2,826529.40,3,50.70,2020,16302.36,2020-01-01,
80,Nowa Huta,Kraków,0,1026697.68,4,74.40,2022,13799.70,2020-01-01,
81,Bieżanów-Prokocim,Kraków,1,581637.02,2,44.99,2021,12928.14,2020-01-01,
82,Prądnik Biały,Kraków,4,694342.80,3,50.90,2021,13641.31,2020-01-01,
83,Podgórze Duchackie,Kraków,3,782951.40,3,57.10,2021,13711.93,2020-01-01,
84,Podgórze Duchackie,Kraków,0,652217.40,2,47.09,2021,13850.44,2020-01-01,
85,Mistrzejowice,Kraków,5,551988.00,2,36.00,2020,15333.01,2020-01-01,
86,Podgórze,Kraków,1,1103976.00,5,79.60,2015,13869.05,2020-01-01,
87,Prądnik Czerwony,Kraków,1,915053.75,4,70.78,2021,12928.14,2020-01-01,
88,Podgórze,Kraków,2,622921.36,2,44.67,2023,13944.96,2020-01-01,
89,Podgórze,Kraków,4,942737.40,3,61.11,2021,15426.89,2020-01-01,
90,Krowodrza,Kraków,3,849771.00,2,53.95,1960,15751.08,2020-01-01,
91,Prądnik Czerwony,Kraków,5,942737.40,2,55.21,2020,17075.49,2020-01-01,
92,Mistrzejowice,Kraków,2,722552.29,4,65.45,2022,11039.76,2020-01-01,
93,Prądnik Biały,Kraków,5,1407116.19,4,104.16,2021,13509.18,2020-01-01,
94,Bieżanów-Prokocim,Kraków,1,632961.73,2,48.96,2021,12928.14,2020-01-01,
95,Dębniki,Kraków,0,915138.00,4,75.00,2022,12201.84,2020-01-01,
96,Prądnik Biały,Kraków,0,642049.20,3,48.50,1990,13238.12,2020-01-01,
97,Grzegórzki,Kraków,3,719037.00,3,50.00,1964,14380.74,2020-01-01,
98,Wzgórza Krzesławickie,Kraków,0,286202.87,1,25.26,2022,11330.28,2020-01-01,
99,Podgórze,Kraków,3,1670490.00,4,86.00,2018,19424.30,2020-01-01,
100,Prądnik Czerwony,Kraków,0,697248.00,2,49.10,1962,14200.57,2020-01-01,
101,Stare Miasto,Kraków,4,1128670.20,3,60.74,2008,18581.99,2020-01-01,
102,Podgórze Duchackie,Kraków,4,647850.70,2,43.91,2021,14754.06,2020-01-01,
103,Dębniki,Kraków,1,740826.00,3,59.80,2010,12388.40,2020-01-01,
104,Bronowice,Kraków,0,825076.80,3,71.92,2022,11472.14,2020-01-01,
105,Nowa Huta,Kraków,4,851441.49,3,61.70,2022,13799.70,2020-01-01,
106,Mistrzejowice,Kraków,1,1015367.40,4,72.31,2020,14041.86,2020-01-01,
107,Mistrzejowice,Kraków,0,578599.63,2,49.79,2022,11620.80,2020-01-01,
1,Podgórze,Kraków,2,1087997.40,3,74.05,2021,14692.74,2020-01-01,
2,Krowodrza,Kraków,2,620260.20,2,37.00,1970,16763.79,2020-01-01,
3,Nowa Huta,Kraków,2,602247.96,1,34.55,2022,17431.20,2020-01-01,
4,Podgórze,Kraków,0,1089450.00,4,81.40,2021,13383.91,2020-01-01,
5,Nowa Huta,Kraków,1,1099193.17,4,82.43,2021,13334.87,2020-01-01,
